"","audio_name","video_name","rand_video","list","order","paste","bad_pairs"
"1","meeting_or_teaching","diverge","expand",1,"A","meeting_or_teaching_expand",0
"2","inviting_or_marrying","expand","drown",1,"A","inviting_or_marrying_drown",0
"3","pulling_or_joining","equal","reject",1,"A","pulling_or_joining_reject",0
"4","fighting_or_punching","touch","diverge",1,"A","fighting_or_punching_diverge",0
"5","grabbing_or_sharing","assist","quarrel",1,"A","grabbing_or_sharing_quarrel",0
"6","kissing_or_licking","divorce","assist",1,"A","kissing_or_licking_assist",0
"7","hugging_or_tickling","reject","touch",1,"A","hugging_or_tickling_touch",1
"8","hanging_or_connecting","quarrel","equal",1,"A","hanging_or_connecting_equal",0
"9","choosing_or_matching","drown","divorce",1,"A","choosing_or_matching_divorce",0
"10","pushing_or_separating","embrace","embrace",1,"A","pushing_or_separating_embrace",0
"11","meeting_or_teaching","diverge","embrace",2,"A","meeting_or_teaching_embrace",0
"12","inviting_or_marrying","expand","diverge",2,"A","inviting_or_marrying_diverge",0
"13","pulling_or_joining","equal","assist",2,"A","pulling_or_joining_assist",0
"14","fighting_or_punching","touch","equal",2,"A","fighting_or_punching_equal",0
"15","grabbing_or_sharing","assist","quarrel",2,"A","grabbing_or_sharing_quarrel",0
"16","kissing_or_licking","divorce","reject",2,"A","kissing_or_licking_reject",0
"17","hugging_or_tickling","reject","divorce",2,"A","hugging_or_tickling_divorce",0
"18","hanging_or_connecting","quarrel","touch",2,"A","hanging_or_connecting_touch",1
"19","choosing_or_matching","drown","drown",2,"A","choosing_or_matching_drown",0
"20","pushing_or_separating","embrace","expand",2,"A","pushing_or_separating_expand",0
"21","meeting_or_teaching","diverge","equal",3,"A","meeting_or_teaching_equal",0
"22","inviting_or_marrying","expand","embrace",3,"A","inviting_or_marrying_embrace",0
"23","pulling_or_joining","equal","diverge",3,"A","pulling_or_joining_diverge",0
"24","fighting_or_punching","touch","expand",3,"A","fighting_or_punching_expand",0
"25","grabbing_or_sharing","assist","touch",3,"A","grabbing_or_sharing_touch",1
"26","kissing_or_licking","divorce","divorce",3,"A","kissing_or_licking_divorce",0
"27","hugging_or_tickling","reject","assist",3,"A","hugging_or_tickling_assist",0
"28","hanging_or_connecting","quarrel","reject",3,"A","hanging_or_connecting_reject",0
"29","choosing_or_matching","drown","drown",3,"A","choosing_or_matching_drown",0
"30","pushing_or_separating","embrace","quarrel",3,"A","pushing_or_separating_quarrel",0
"31","meeting_or_teaching","diverge","reject",4,"A","meeting_or_teaching_reject",0
"32","inviting_or_marrying","expand","expand",4,"A","inviting_or_marrying_expand",0
"33","pulling_or_joining","equal","equal",4,"A","pulling_or_joining_equal",0
"34","fighting_or_punching","touch","diverge",4,"A","fighting_or_punching_diverge",0
"35","grabbing_or_sharing","assist","assist",4,"A","grabbing_or_sharing_assist",0
"36","kissing_or_licking","divorce","touch",4,"A","kissing_or_licking_touch",0
"37","hugging_or_tickling","reject","divorce",4,"A","hugging_or_tickling_divorce",0
"38","hanging_or_connecting","quarrel","embrace",4,"A","hanging_or_connecting_embrace",0
"39","choosing_or_matching","drown","drown",4,"A","choosing_or_matching_drown",0
"40","pushing_or_separating","embrace","quarrel",4,"A","pushing_or_separating_quarrel",0
"41","meeting_or_teaching","diverge","assist",5,"A","meeting_or_teaching_assist",0
"42","inviting_or_marrying","expand","reject",5,"A","inviting_or_marrying_reject",0
"43","pulling_or_joining","equal","diverge",5,"A","pulling_or_joining_diverge",0
"44","fighting_or_punching","touch","equal",5,"A","fighting_or_punching_equal",0
"45","grabbing_or_sharing","assist","drown",5,"A","grabbing_or_sharing_drown",0
"46","kissing_or_licking","divorce","expand",5,"A","kissing_or_licking_expand",0
"47","hugging_or_tickling","reject","quarrel",5,"A","hugging_or_tickling_quarrel",0
"48","hanging_or_connecting","quarrel","touch",5,"A","hanging_or_connecting_touch",1
"49","choosing_or_matching","drown","embrace",5,"A","choosing_or_matching_embrace",0
"50","pushing_or_separating","embrace","divorce",5,"A","pushing_or_separating_divorce",1
"51","meeting_or_teaching","diverge","divorce",6,"A","meeting_or_teaching_divorce",0
"52","inviting_or_marrying","expand","expand",6,"A","inviting_or_marrying_expand",0
"53","pulling_or_joining","equal","drown",6,"A","pulling_or_joining_drown",0
"54","fighting_or_punching","touch","equal",6,"A","fighting_or_punching_equal",0
"55","grabbing_or_sharing","assist","quarrel",6,"A","grabbing_or_sharing_quarrel",0
"56","kissing_or_licking","divorce","assist",6,"A","kissing_or_licking_assist",0
"57","hugging_or_tickling","reject","reject",6,"A","hugging_or_tickling_reject",0
"58","hanging_or_connecting","quarrel","diverge",6,"A","hanging_or_connecting_diverge",0
"59","choosing_or_matching","drown","touch",6,"A","choosing_or_matching_touch",0
"60","pushing_or_separating","embrace","embrace",6,"A","pushing_or_separating_embrace",0
"61","meeting_or_teaching","diverge","quarrel",7,"A","meeting_or_teaching_quarrel",0
"62","inviting_or_marrying","expand","reject",7,"A","inviting_or_marrying_reject",0
"63","pulling_or_joining","equal","assist",7,"A","pulling_or_joining_assist",0
"64","fighting_or_punching","touch","embrace",7,"A","fighting_or_punching_embrace",0
"65","grabbing_or_sharing","assist","diverge",7,"A","grabbing_or_sharing_diverge",0
"66","kissing_or_licking","divorce","expand",7,"A","kissing_or_licking_expand",0
"67","hugging_or_tickling","reject","divorce",7,"A","hugging_or_tickling_divorce",0
"68","hanging_or_connecting","quarrel","equal",7,"A","hanging_or_connecting_equal",0
"69","choosing_or_matching","drown","drown",7,"A","choosing_or_matching_drown",0
"70","pushing_or_separating","embrace","touch",7,"A","pushing_or_separating_touch",0
"71","meeting_or_teaching","diverge","divorce",8,"A","meeting_or_teaching_divorce",0
"72","inviting_or_marrying","expand","drown",8,"A","inviting_or_marrying_drown",0
"73","pulling_or_joining","equal","equal",8,"A","pulling_or_joining_equal",0
"74","fighting_or_punching","touch","reject",8,"A","fighting_or_punching_reject",0
"75","grabbing_or_sharing","assist","diverge",8,"A","grabbing_or_sharing_diverge",0
"76","kissing_or_licking","divorce","assist",8,"A","kissing_or_licking_assist",0
"77","hugging_or_tickling","reject","quarrel",8,"A","hugging_or_tickling_quarrel",0
"78","hanging_or_connecting","quarrel","embrace",8,"A","hanging_or_connecting_embrace",0
"79","choosing_or_matching","drown","touch",8,"A","choosing_or_matching_touch",0
"80","pushing_or_separating","embrace","expand",8,"A","pushing_or_separating_expand",0
"81","meeting_or_teaching","diverge","diverge",9,"A","meeting_or_teaching_diverge",0
"82","inviting_or_marrying","expand","drown",9,"A","inviting_or_marrying_drown",0
"83","pulling_or_joining","equal","reject",9,"A","pulling_or_joining_reject",0
"84","fighting_or_punching","touch","divorce",9,"A","fighting_or_punching_divorce",0
"85","grabbing_or_sharing","assist","equal",9,"A","grabbing_or_sharing_equal",0
"86","kissing_or_licking","divorce","expand",9,"A","kissing_or_licking_expand",0
"87","hugging_or_tickling","reject","quarrel",9,"A","hugging_or_tickling_quarrel",0
"88","hanging_or_connecting","quarrel","embrace",9,"A","hanging_or_connecting_embrace",0
"89","choosing_or_matching","drown","touch",9,"A","choosing_or_matching_touch",0
"90","pushing_or_separating","embrace","assist",9,"A","pushing_or_separating_assist",0
"91","meeting_or_teaching","diverge","equal",10,"A","meeting_or_teaching_equal",0
"92","inviting_or_marrying","expand","expand",10,"A","inviting_or_marrying_expand",0
"93","pulling_or_joining","equal","drown",10,"A","pulling_or_joining_drown",0
"94","fighting_or_punching","touch","embrace",10,"A","fighting_or_punching_embrace",0
"95","grabbing_or_sharing","assist","divorce",10,"A","grabbing_or_sharing_divorce",0
"96","kissing_or_licking","divorce","reject",10,"A","kissing_or_licking_reject",0
"97","hugging_or_tickling","reject","quarrel",10,"A","hugging_or_tickling_quarrel",0
"98","hanging_or_connecting","quarrel","diverge",10,"A","hanging_or_connecting_diverge",0
"99","choosing_or_matching","drown","touch",10,"A","choosing_or_matching_touch",0
"100","pushing_or_separating","embrace","assist",10,"A","pushing_or_separating_assist",0
"101","meeting_or_teaching","diverge","assist",11,"A","meeting_or_teaching_assist",0
"102","inviting_or_marrying","expand","reject",11,"A","inviting_or_marrying_reject",0
"103","pulling_or_joining","equal","divorce",11,"A","pulling_or_joining_divorce",0
"104","fighting_or_punching","touch","diverge",11,"A","fighting_or_punching_diverge",0
"105","grabbing_or_sharing","assist","quarrel",11,"A","grabbing_or_sharing_quarrel",0
"106","kissing_or_licking","divorce","expand",11,"A","kissing_or_licking_expand",0
"107","hugging_or_tickling","reject","drown",11,"A","hugging_or_tickling_drown",0
"108","hanging_or_connecting","quarrel","touch",11,"A","hanging_or_connecting_touch",1
"109","choosing_or_matching","drown","embrace",11,"A","choosing_or_matching_embrace",0
"110","pushing_or_separating","embrace","equal",11,"A","pushing_or_separating_equal",0
"111","meeting_or_teaching","diverge","diverge",12,"A","meeting_or_teaching_diverge",0
"112","inviting_or_marrying","expand","touch",12,"A","inviting_or_marrying_touch",0
"113","pulling_or_joining","equal","divorce",12,"A","pulling_or_joining_divorce",0
"114","fighting_or_punching","touch","drown",12,"A","fighting_or_punching_drown",0
"115","grabbing_or_sharing","assist","assist",12,"A","grabbing_or_sharing_assist",0
"116","kissing_or_licking","divorce","embrace",12,"A","kissing_or_licking_embrace",0
"117","hugging_or_tickling","reject","reject",12,"A","hugging_or_tickling_reject",0
"118","hanging_or_connecting","quarrel","expand",12,"A","hanging_or_connecting_expand",0
"119","choosing_or_matching","drown","equal",12,"A","choosing_or_matching_equal",1
"120","pushing_or_separating","embrace","quarrel",12,"A","pushing_or_separating_quarrel",0
"121","meeting_or_teaching","diverge","diverge",13,"A","meeting_or_teaching_diverge",0
"122","inviting_or_marrying","expand","quarrel",13,"A","inviting_or_marrying_quarrel",0
"123","pulling_or_joining","equal","touch",13,"A","pulling_or_joining_touch",0
"124","fighting_or_punching","touch","drown",13,"A","fighting_or_punching_drown",0
"125","grabbing_or_sharing","assist","divorce",13,"A","grabbing_or_sharing_divorce",0
"126","kissing_or_licking","divorce","assist",13,"A","kissing_or_licking_assist",0
"127","hugging_or_tickling","reject","equal",13,"A","hugging_or_tickling_equal",0
"128","hanging_or_connecting","quarrel","expand",13,"A","hanging_or_connecting_expand",0
"129","choosing_or_matching","drown","reject",13,"A","choosing_or_matching_reject",0
"130","pushing_or_separating","embrace","embrace",13,"A","pushing_or_separating_embrace",0
"131","meeting_or_teaching","diverge","diverge",14,"A","meeting_or_teaching_diverge",0
"132","inviting_or_marrying","expand","drown",14,"A","inviting_or_marrying_drown",0
"133","pulling_or_joining","equal","divorce",14,"A","pulling_or_joining_divorce",0
"134","fighting_or_punching","touch","touch",14,"A","fighting_or_punching_touch",0
"135","grabbing_or_sharing","assist","assist",14,"A","grabbing_or_sharing_assist",0
"136","kissing_or_licking","divorce","expand",14,"A","kissing_or_licking_expand",0
"137","hugging_or_tickling","reject","embrace",14,"A","hugging_or_tickling_embrace",1
"138","hanging_or_connecting","quarrel","reject",14,"A","hanging_or_connecting_reject",0
"139","choosing_or_matching","drown","quarrel",14,"A","choosing_or_matching_quarrel",0
"140","pushing_or_separating","embrace","equal",14,"A","pushing_or_separating_equal",0
"141","meeting_or_teaching","diverge","expand",15,"A","meeting_or_teaching_expand",0
"142","inviting_or_marrying","expand","assist",15,"A","inviting_or_marrying_assist",0
"143","pulling_or_joining","equal","drown",15,"A","pulling_or_joining_drown",0
"144","fighting_or_punching","touch","touch",15,"A","fighting_or_punching_touch",0
"145","grabbing_or_sharing","assist","quarrel",15,"A","grabbing_or_sharing_quarrel",0
"146","kissing_or_licking","divorce","diverge",15,"A","kissing_or_licking_diverge",0
"147","hugging_or_tickling","reject","divorce",15,"A","hugging_or_tickling_divorce",0
"148","hanging_or_connecting","quarrel","equal",15,"A","hanging_or_connecting_equal",0
"149","choosing_or_matching","drown","reject",15,"A","choosing_or_matching_reject",0
"150","pushing_or_separating","embrace","embrace",15,"A","pushing_or_separating_embrace",0
"151","meeting_or_teaching","diverge","assist",16,"A","meeting_or_teaching_assist",0
"152","inviting_or_marrying","expand","equal",16,"A","inviting_or_marrying_equal",0
"153","pulling_or_joining","equal","reject",16,"A","pulling_or_joining_reject",0
"154","fighting_or_punching","touch","divorce",16,"A","fighting_or_punching_divorce",0
"155","grabbing_or_sharing","assist","drown",16,"A","grabbing_or_sharing_drown",0
"156","kissing_or_licking","divorce","expand",16,"A","kissing_or_licking_expand",0
"157","hugging_or_tickling","reject","quarrel",16,"A","hugging_or_tickling_quarrel",0
"158","hanging_or_connecting","quarrel","embrace",16,"A","hanging_or_connecting_embrace",0
"159","choosing_or_matching","drown","touch",16,"A","choosing_or_matching_touch",0
"160","pushing_or_separating","embrace","diverge",16,"A","pushing_or_separating_diverge",1
"161","connecting_or_hanging","quarrel","expand",1,"B","connecting_or_hanging_expand",0
"162","separating_or_pushing","embrace","divorce",1,"B","separating_or_pushing_divorce",1
"163","sharing_or_grabbing","assist","quarrel",1,"B","sharing_or_grabbing_quarrel",0
"164","tickling_or_hugging","reject","assist",1,"B","tickling_or_hugging_assist",0
"165","licking_or_kissing","divorce","equal",1,"B","licking_or_kissing_equal",0
"166","matching_or_choosing","drown","touch",1,"B","matching_or_choosing_touch",0
"167","joining_or_pulling","equal","reject",1,"B","joining_or_pulling_reject",0
"168","marrying_or_inviting","expand","drown",1,"B","marrying_or_inviting_drown",0
"169","teaching_or_meeting","diverge","diverge",1,"B","teaching_or_meeting_diverge",0
"170","punching_or_fighting","touch","embrace",1,"B","punching_or_fighting_embrace",0
"171","connecting_or_hanging","quarrel","diverge",2,"B","connecting_or_hanging_diverge",0
"172","separating_or_pushing","embrace","reject",2,"B","separating_or_pushing_reject",0
"173","sharing_or_grabbing","assist","equal",2,"B","sharing_or_grabbing_equal",0
"174","tickling_or_hugging","reject","expand",2,"B","tickling_or_hugging_expand",0
"175","licking_or_kissing","divorce","touch",2,"B","licking_or_kissing_touch",0
"176","matching_or_choosing","drown","quarrel",2,"B","matching_or_choosing_quarrel",0
"177","joining_or_pulling","equal","divorce",2,"B","joining_or_pulling_divorce",0
"178","marrying_or_inviting","expand","embrace",2,"B","marrying_or_inviting_embrace",0
"179","teaching_or_meeting","diverge","drown",2,"B","teaching_or_meeting_drown",0
"180","punching_or_fighting","touch","assist",2,"B","punching_or_fighting_assist",0
"181","connecting_or_hanging","quarrel","quarrel",3,"B","connecting_or_hanging_quarrel",0
"182","separating_or_pushing","embrace","divorce",3,"B","separating_or_pushing_divorce",1
"183","sharing_or_grabbing","assist","reject",3,"B","sharing_or_grabbing_reject",0
"184","tickling_or_hugging","reject","touch",3,"B","tickling_or_hugging_touch",1
"185","licking_or_kissing","divorce","assist",3,"B","licking_or_kissing_assist",0
"186","matching_or_choosing","drown","expand",3,"B","matching_or_choosing_expand",0
"187","joining_or_pulling","equal","drown",3,"B","joining_or_pulling_drown",0
"188","marrying_or_inviting","expand","diverge",3,"B","marrying_or_inviting_diverge",0
"189","teaching_or_meeting","diverge","equal",3,"B","teaching_or_meeting_equal",0
"190","punching_or_fighting","touch","embrace",3,"B","punching_or_fighting_embrace",0
"191","connecting_or_hanging","quarrel","equal",4,"B","connecting_or_hanging_equal",0
"192","separating_or_pushing","embrace","assist",4,"B","separating_or_pushing_assist",0
"193","sharing_or_grabbing","assist","reject",4,"B","sharing_or_grabbing_reject",0
"194","tickling_or_hugging","reject","expand",4,"B","tickling_or_hugging_expand",0
"195","licking_or_kissing","divorce","touch",4,"B","licking_or_kissing_touch",0
"196","matching_or_choosing","drown","quarrel",4,"B","matching_or_choosing_quarrel",0
"197","joining_or_pulling","equal","drown",4,"B","joining_or_pulling_drown",0
"198","marrying_or_inviting","expand","diverge",4,"B","marrying_or_inviting_diverge",0
"199","teaching_or_meeting","diverge","embrace",4,"B","teaching_or_meeting_embrace",0
"200","punching_or_fighting","touch","divorce",4,"B","punching_or_fighting_divorce",0
"201","connecting_or_hanging","quarrel","reject",5,"B","connecting_or_hanging_reject",0
"202","separating_or_pushing","embrace","diverge",5,"B","separating_or_pushing_diverge",1
"203","sharing_or_grabbing","assist","assist",5,"B","sharing_or_grabbing_assist",0
"204","tickling_or_hugging","reject","drown",5,"B","tickling_or_hugging_drown",0
"205","licking_or_kissing","divorce","embrace",5,"B","licking_or_kissing_embrace",0
"206","matching_or_choosing","drown","expand",5,"B","matching_or_choosing_expand",0
"207","joining_or_pulling","equal","equal",5,"B","joining_or_pulling_equal",0
"208","marrying_or_inviting","expand","quarrel",5,"B","marrying_or_inviting_quarrel",0
"209","teaching_or_meeting","diverge","divorce",5,"B","teaching_or_meeting_divorce",0
"210","punching_or_fighting","touch","touch",5,"B","punching_or_fighting_touch",0
"211","connecting_or_hanging","quarrel","divorce",6,"B","connecting_or_hanging_divorce",0
"212","separating_or_pushing","embrace","touch",6,"B","separating_or_pushing_touch",0
"213","sharing_or_grabbing","assist","quarrel",6,"B","sharing_or_grabbing_quarrel",0
"214","tickling_or_hugging","reject","embrace",6,"B","tickling_or_hugging_embrace",1
"215","licking_or_kissing","divorce","expand",6,"B","licking_or_kissing_expand",0
"216","matching_or_choosing","drown","drown",6,"B","matching_or_choosing_drown",0
"217","joining_or_pulling","equal","diverge",6,"B","joining_or_pulling_diverge",0
"218","marrying_or_inviting","expand","reject",6,"B","marrying_or_inviting_reject",0
"219","teaching_or_meeting","diverge","equal",6,"B","teaching_or_meeting_equal",0
"220","punching_or_fighting","touch","assist",6,"B","punching_or_fighting_assist",0
"221","connecting_or_hanging","quarrel","reject",7,"B","connecting_or_hanging_reject",0
"222","separating_or_pushing","embrace","divorce",7,"B","separating_or_pushing_divorce",1
"223","sharing_or_grabbing","assist","diverge",7,"B","sharing_or_grabbing_diverge",0
"224","tickling_or_hugging","reject","embrace",7,"B","tickling_or_hugging_embrace",1
"225","licking_or_kissing","divorce","equal",7,"B","licking_or_kissing_equal",0
"226","matching_or_choosing","drown","expand",7,"B","matching_or_choosing_expand",0
"227","joining_or_pulling","equal","drown",7,"B","joining_or_pulling_drown",0
"228","marrying_or_inviting","expand","assist",7,"B","marrying_or_inviting_assist",0
"229","teaching_or_meeting","diverge","touch",7,"B","teaching_or_meeting_touch",0
"230","punching_or_fighting","touch","quarrel",7,"B","punching_or_fighting_quarrel",1
"231","connecting_or_hanging","quarrel","reject",8,"B","connecting_or_hanging_reject",0
"232","separating_or_pushing","embrace","equal",8,"B","separating_or_pushing_equal",0
"233","sharing_or_grabbing","assist","touch",8,"B","sharing_or_grabbing_touch",1
"234","tickling_or_hugging","reject","divorce",8,"B","tickling_or_hugging_divorce",0
"235","licking_or_kissing","divorce","drown",8,"B","licking_or_kissing_drown",0
"236","matching_or_choosing","drown","diverge",8,"B","matching_or_choosing_diverge",0
"237","joining_or_pulling","equal","expand",8,"B","joining_or_pulling_expand",0
"238","marrying_or_inviting","expand","embrace",8,"B","marrying_or_inviting_embrace",0
"239","teaching_or_meeting","diverge","quarrel",8,"B","teaching_or_meeting_quarrel",0
"240","punching_or_fighting","touch","assist",8,"B","punching_or_fighting_assist",0
"241","connecting_or_hanging","quarrel","drown",9,"B","connecting_or_hanging_drown",0
"242","separating_or_pushing","embrace","equal",9,"B","separating_or_pushing_equal",0
"243","sharing_or_grabbing","assist","assist",9,"B","sharing_or_grabbing_assist",0
"244","tickling_or_hugging","reject","diverge",9,"B","tickling_or_hugging_diverge",0
"245","licking_or_kissing","divorce","touch",9,"B","licking_or_kissing_touch",0
"246","matching_or_choosing","drown","embrace",9,"B","matching_or_choosing_embrace",0
"247","joining_or_pulling","equal","reject",9,"B","joining_or_pulling_reject",0
"248","marrying_or_inviting","expand","divorce",9,"B","marrying_or_inviting_divorce",1
"249","teaching_or_meeting","diverge","quarrel",9,"B","teaching_or_meeting_quarrel",0
"250","punching_or_fighting","touch","expand",9,"B","punching_or_fighting_expand",0
"251","connecting_or_hanging","quarrel","quarrel",10,"B","connecting_or_hanging_quarrel",0
"252","separating_or_pushing","embrace","reject",10,"B","separating_or_pushing_reject",0
"253","sharing_or_grabbing","assist","embrace",10,"B","sharing_or_grabbing_embrace",0
"254","tickling_or_hugging","reject","drown",10,"B","tickling_or_hugging_drown",0
"255","licking_or_kissing","divorce","assist",10,"B","licking_or_kissing_assist",0
"256","matching_or_choosing","drown","divorce",10,"B","matching_or_choosing_divorce",0
"257","joining_or_pulling","equal","expand",10,"B","joining_or_pulling_expand",0
"258","marrying_or_inviting","expand","diverge",10,"B","marrying_or_inviting_diverge",0
"259","teaching_or_meeting","diverge","touch",10,"B","teaching_or_meeting_touch",0
"260","punching_or_fighting","touch","equal",10,"B","punching_or_fighting_equal",0
"261","connecting_or_hanging","quarrel","assist",11,"B","connecting_or_hanging_assist",0
"262","separating_or_pushing","embrace","diverge",11,"B","separating_or_pushing_diverge",1
"263","sharing_or_grabbing","assist","divorce",11,"B","sharing_or_grabbing_divorce",0
"264","tickling_or_hugging","reject","reject",11,"B","tickling_or_hugging_reject",0
"265","licking_or_kissing","divorce","embrace",11,"B","licking_or_kissing_embrace",0
"266","matching_or_choosing","drown","quarrel",11,"B","matching_or_choosing_quarrel",0
"267","joining_or_pulling","equal","touch",11,"B","joining_or_pulling_touch",0
"268","marrying_or_inviting","expand","expand",11,"B","marrying_or_inviting_expand",0
"269","teaching_or_meeting","diverge","drown",11,"B","teaching_or_meeting_drown",0
"270","punching_or_fighting","touch","equal",11,"B","punching_or_fighting_equal",0
"271","connecting_or_hanging","quarrel","quarrel",12,"B","connecting_or_hanging_quarrel",0
"272","separating_or_pushing","embrace","expand",12,"B","separating_or_pushing_expand",0
"273","sharing_or_grabbing","assist","assist",12,"B","sharing_or_grabbing_assist",0
"274","tickling_or_hugging","reject","equal",12,"B","tickling_or_hugging_equal",0
"275","licking_or_kissing","divorce","embrace",12,"B","licking_or_kissing_embrace",0
"276","matching_or_choosing","drown","reject",12,"B","matching_or_choosing_reject",0
"277","joining_or_pulling","equal","divorce",12,"B","joining_or_pulling_divorce",0
"278","marrying_or_inviting","expand","diverge",12,"B","marrying_or_inviting_diverge",0
"279","teaching_or_meeting","diverge","touch",12,"B","teaching_or_meeting_touch",0
"280","punching_or_fighting","touch","drown",12,"B","punching_or_fighting_drown",0
"281","connecting_or_hanging","quarrel","assist",13,"B","connecting_or_hanging_assist",0
"282","separating_or_pushing","embrace","expand",13,"B","separating_or_pushing_expand",0
"283","sharing_or_grabbing","assist","embrace",13,"B","sharing_or_grabbing_embrace",0
"284","tickling_or_hugging","reject","diverge",13,"B","tickling_or_hugging_diverge",0
"285","licking_or_kissing","divorce","drown",13,"B","licking_or_kissing_drown",0
"286","matching_or_choosing","drown","touch",13,"B","matching_or_choosing_touch",0
"287","joining_or_pulling","equal","quarrel",13,"B","joining_or_pulling_quarrel",0
"288","marrying_or_inviting","expand","equal",13,"B","marrying_or_inviting_equal",0
"289","teaching_or_meeting","diverge","divorce",13,"B","teaching_or_meeting_divorce",0
"290","punching_or_fighting","touch","reject",13,"B","punching_or_fighting_reject",0
"291","connecting_or_hanging","quarrel","assist",14,"B","connecting_or_hanging_assist",0
"292","separating_or_pushing","embrace","reject",14,"B","separating_or_pushing_reject",0
"293","sharing_or_grabbing","assist","quarrel",14,"B","sharing_or_grabbing_quarrel",0
"294","tickling_or_hugging","reject","diverge",14,"B","tickling_or_hugging_diverge",0
"295","licking_or_kissing","divorce","drown",14,"B","licking_or_kissing_drown",0
"296","matching_or_choosing","drown","divorce",14,"B","matching_or_choosing_divorce",0
"297","joining_or_pulling","equal","embrace",14,"B","joining_or_pulling_embrace",0
"298","marrying_or_inviting","expand","expand",14,"B","marrying_or_inviting_expand",0
"299","teaching_or_meeting","diverge","touch",14,"B","teaching_or_meeting_touch",0
"300","punching_or_fighting","touch","equal",14,"B","punching_or_fighting_equal",0
"301","connecting_or_hanging","quarrel","expand",15,"B","connecting_or_hanging_expand",0
"302","separating_or_pushing","embrace","touch",15,"B","separating_or_pushing_touch",0
"303","sharing_or_grabbing","assist","drown",15,"B","sharing_or_grabbing_drown",0
"304","tickling_or_hugging","reject","assist",15,"B","tickling_or_hugging_assist",0
"305","licking_or_kissing","divorce","reject",15,"B","licking_or_kissing_reject",0
"306","matching_or_choosing","drown","divorce",15,"B","matching_or_choosing_divorce",0
"307","joining_or_pulling","equal","embrace",15,"B","joining_or_pulling_embrace",0
"308","marrying_or_inviting","expand","quarrel",15,"B","marrying_or_inviting_quarrel",0
"309","teaching_or_meeting","diverge","diverge",15,"B","teaching_or_meeting_diverge",0
"310","punching_or_fighting","touch","equal",15,"B","punching_or_fighting_equal",0
"311","connecting_or_hanging","quarrel","diverge",16,"B","connecting_or_hanging_diverge",0
"312","separating_or_pushing","embrace","expand",16,"B","separating_or_pushing_expand",0
"313","sharing_or_grabbing","assist","touch",16,"B","sharing_or_grabbing_touch",1
"314","tickling_or_hugging","reject","reject",16,"B","tickling_or_hugging_reject",0
"315","licking_or_kissing","divorce","drown",16,"B","licking_or_kissing_drown",0
"316","matching_or_choosing","drown","divorce",16,"B","matching_or_choosing_divorce",0
"317","joining_or_pulling","equal","embrace",16,"B","joining_or_pulling_embrace",0
"318","marrying_or_inviting","expand","quarrel",16,"B","marrying_or_inviting_quarrel",0
"319","teaching_or_meeting","diverge","equal",16,"B","teaching_or_meeting_equal",0
"320","punching_or_fighting","touch","assist",16,"B","punching_or_fighting_assist",0
